,OR,pval,p_adj,genes,source
cytoskeleton,2.4929322564508967,4.5156326793132797e-07,0.00028148812074591965,"ALOX15B, CALCOCO2, CFAP300, CYB5D1, DNAJC7, DUSP3, DYNLL2, HAP1, JUP, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT37, KRT38, KRT39, KRT40, KRT9, LDB3, MPP2, NEFH, NF2, PLEKHH3, SGCA, TNS4, WIPF2",Pure_NetAn_GO
BRCA1-C complex,105.85685483870968,1.093229081432989e-06,0.000583172119069192,"BARD1, BRCA1, MRE11, NBN, RAD50",Pure_NetAn_GO
DNA repair,2.944284682183281,1.1056201761556798e-06,0.000583172119069192,"ATR, BARD1, BLM, BRCA1, BRIP1, ERCC3, ERCC4, FANCA, FANCC, FANCG, FANCL, KAT7, MEN1, MRE11, MSH2, MSH3, MSH6, MUTYH, POLD1, RAD50, RAD51, RAD51C, RAD51D, RAD54L, RECQL, RECQL4, SHLD2, SLX4, WRAP53, XRCC2",Pure_NetAn_GO
collagen catabolic process,7.799290060851927,1.4158789512048025e-06,0.0006934772834579522,"MMP1, MMP10, MMP12, MMP13, MMP20, MMP27, MMP28, MMP3, MMP7, MMP8, RETREG3",Pure_NetAn_GO
reciprocal meiotic recombination,8.856382978723405,1.6947445362096337e-06,0.0007747242189859639,"ATM, CNTD1, MLH3, MRE11, PSMC3IP, RAD50, RAD51, RAD51C, RAD51D, RAD54L",Pure_NetAn_GO
interstrand cross-link repair,7.547340181901459,1.840112052771014e-06,0.0007886030216156776,"ATR, FANCA, FANCC, FANCD2, FANCG, FANCI, FANCL, FANCM, HROB, RAD51, RAD51D",Pure_NetAn_GO
double-strand break repair,4.920413598621338,2.6324334312721663e-06,0.0010617997669548967,"ATM, ATR, BRCA1, BRCA2, BRIP1, CHEK2, EME1, MEIOC, MRE11, MSH2, NBN, PLK1, RAD50, TP53, WRN",Pure_NetAn_GO
cellular response to gamma radiation,9.557034412955465,3.4274727902849813e-06,0.0012625958017288103,"ATM, ATR, CHEK2, CRYAB, RAD51, RPL26, TP53, WRN, YAP1",Pure_NetAn_GO
oxidized purine DNA binding,52.92590725806452,3.682647810205076e-06,0.0012625958017288103,"MSH2, MSH3, MSH6, MUTYH, RECQL4",Pure_NetAn_GO
MutLalpha complex binding,52.92590725806452,3.682647810205076e-06,0.0012625958017288103,"ATR, MSH2, MSH6, MUTYH, WRN",Pure_NetAn_GO
guanine/thymine mispair binding,inf,4.193645241277752e-06,0.001369325019973407,"MLH1, MSH2, MSH3, MSH6",Pure_NetAn_GO
replication fork,8.687384983437616,6.357310955028248e-06,0.001981458237210395,"BLM, BRIP1, MRE11, NBN, RAD51C, RAD51D, TP53, WRN, XRCC2",Pure_NetAn_GO
telomeric D-loop disassembly,35.28225806451613,9.452099894362129e-06,0.002817958651114831,"BLM, POT1, RECQL4, SLX4, WRN",Pure_NetAn_GO
somitogenesis,6.639754305977711,1.3671251156556414e-05,0.0039059903825211387,"ATM, AXIN2, BMPR1A, HES7, KAT2A, NLE1, PALB2, TCAP, TP53, XRCC2",Pure_NetAn_GO
embryonic skeletal system morphogenesis,6.438242608455375,1.7095292344630117e-05,0.004688896784285149,"HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, PCGF2",Pure_NetAn_GO
homologous recombination,15.889253279515641,1.8728084461956998e-05,0.004939172121370736,"BARD1, BRCA1, BRIP1, MRE11, NBN, RAD50",Pure_NetAn_GO
negative regulation of cyclin-dependent protein serine/threonine kinase activity,14.12310797174571,3.001588847834188e-05,0.0076229239739255645,"APC, CDKN1B, CDKN2A, HEXIM2, MEN1, PTEN",Pure_NetAn_GO
3'-5' DNA helicase activity,12.710191725529768,4.618437773374222e-05,0.011225815083217662,"BLM, ERCC3, FANCM, RECQL, RECQL4, WRN",Pure_NetAn_GO
chemokine activity,5.5897723030981705,4.747683205677588e-05,0.011225815083217662,"CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL4, CCL4L1, CCL5",Pure_NetAn_GO
nuclear ubiquitin ligase complex,42.29808660624371,5.8446376634920716e-05,0.01164445583306275,"BARD1, BRCA1, BRCA2, RAD51",Pure_NetAn_GO
regulation of regulatory T cell differentiation,42.29808660624371,5.8446376634920716e-05,0.01164445583306275,"DROSHA, FANCA, FANCD2, KAT2A",Pure_NetAn_GO
CCR1 chemokine receptor binding,42.29808660624371,5.8446376634920716e-05,0.01164445583306275,"CCL23, CCL3, CCL4, CCL5",Pure_NetAn_GO
positive regulation of isotype switching to IgA isotypes,42.29808660624371,5.8446376634920716e-05,0.01164445583306275,"MLH1, MSH2, PMS2, TNFSF13",Pure_NetAn_GO
NLRP1 inflammasome complex,42.29808660624371,5.8446376634920716e-05,0.01164445583306275,"CASP1, CASP12, CASP4, CASP5",Pure_NetAn_GO
chemokine-mediated signaling pathway,4.870372718052739,5.9436481574623927e-05,0.01164445583306275,"CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL4, CCL4L1, CCL5, CCR10",Pure_NetAn_GO
positive regulation of isotype switching to IgG isotypes,17.63860887096774,6.95492432549001e-05,0.01294145667151986,"IL2, MLH1, MSH2, PMS2, TBX21",Pure_NetAn_GO
telomere maintenance,4.770749679182018,6.983139811086989e-05,0.01294145667151986,"ATM, ATR, BLM, CTC1, ERCC4, MRE11, NBN, RAD50, RAD51D, RECQL4, WRN",Pure_NetAn_GO
mitotic G2/M transition checkpoint,8.243265993265993,9.008030560034427e-05,0.016254754092146332,"ATR, BARD1, BRCA1, CDK5RAP3, MRE11, NBN, RAD50",Pure_NetAn_GO
response to X-ray,10.590817356205852,9.902282921389712e-05,0.016974988497992314,"BLM, BRCA2, MSH2, RAD51, TP53, XRCC2",Pure_NetAn_GO
resolution of meiotic recombination intermediates,10.590817356205852,9.902282921389712e-05,0.016974988497992314,"EME1, ERCC4, FANCM, MLH1, SLX4, TOP2A",Pure_NetAn_GO
DNA double-strand break processing,15.118087557603687,0.00011477575996951069,0.018738509193117495,"ATM, BLM, MRE11, NBN, RAD50",Pure_NetAn_GO
telomere maintenance via recombination,15.118087557603687,0.00011477575996951069,0.018738509193117495,"BRCA2, RAD50, RAD51, RAD51C, RAD51D",Pure_NetAn_GO
MutSalpha complex binding,28.197381671701912,0.00013146468173454149,0.020505194680895632,"ATR, MLH1, MUTYH, PMS2",Pure_NetAn_GO
cellular response to epidermal growth factor stimulus,5.457258530942742,0.00013157774040533876,0.020505194680895632,"AKT1, BECN1, COL1A1, DUSP3, EGFR, ERBB2, MED1, PPP1R9B, STAT5B",Pure_NetAn_GO
cytosol,1.2968405942374008,0.0001663040787609239,0.025341045956970117,"AASDHPPT, ABCB6, ACACA, ACLY, ACTA2, ADIRF, AIMP2, AIP, AKAP1, AKT1, ALKBH8, ALOX12B, ALOX15B, ALOXE3, AMOTL1, AP1B1, AP2B1, APC, ARHGAP20, ARHGAP23, ARHGAP27, ARHGEF15, ASB16, ATAD1, ATM, ATP6V0A1, AURKB, AXIN2, BAP1, BCAR1, BECN1, BIRC2, BIRC3, BLM, BRAF, BRCA2, CALCOCO2, CASC3, CASP1, CASP12, CASP4, CASP5, CAVIN1, CCDC43, CCL3, CDC27, CDC6, CDC73, CDK5RAP3, CDKN1B, CDKN2A, CDKN2B, CEP57, CNTROB, COPZ2, CRYAB, CTC1, CTNNA1, CTNNA2, CUL5, DCTN5, DDX41, DGKE, DHX8, DIXDC1, DLG4, DNAJC21, DNAJC7, DROSHA, DUSP3, DVL2, DYNLL2, EFTUD2, EGFR, EIF2B5, EIF4A1, EIF5A, ELP5, ENDOD1, ERBB2, EVI2A, FANCA, FANCC, FANCD2, FANCG, FANCI, FANCL, FANCM, FBXL20, FHIT, FMNL1, FXR2, GABARAP, GFAP, GOSR2, GPS2, GPSM2, GRB7, GSDMA, GUCY1A2, HAP1, HDAC5, HEXIM2, HNF1B, HOXB5, HOXB7, HSCB, HSD17B1, HSPB2, HSPB9, IFI35, IGF2BP1, IKZF3, IL7R, JUP, KAT7, KIF18B, KIF2B, KLHL11, KPNB1, KRAS, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, KRT9, KRTAP1-1, KRTAP1-3, KRTAP1-4, KRTAP1-5, KRTAP16-1, KRTAP17-1, KRTAP2-1, KRTAP2-2, KRTAP2-3, KRTAP2-4, KRTAP3-1, KRTAP3-2, KRTAP3-3, KRTAP4-1, KRTAP4-11, KRTAP4-12, KRTAP4-2, KRTAP4-3, KRTAP4-4, KRTAP4-5, KRTAP4-6, KRTAP4-7, KRTAP4-8, KRTAP4-9, KRTAP9-1, KRTAP9-2, KRTAP9-3, KRTAP9-4, KRTAP9-6, KRTAP9-7, KRTAP9-8, KRTAP9-9, LCP1, MAP3K14, MAPT, MEN1, MIEN1, MITF, MKS1, MLX, MMP3, MRE11, MSH6, MSI2, MTMR2, MTMR3, MTMR4, MYL4, MYO19, MYO7A, NBN, NBR1, NF1, NF2, NFE2L1, NGFR, NISCH, NME1, NME2, NMT1, NPEPPS, NSF, NT5C3B, OSBPL7, PAH, PAPSS2, PCTP, PDK2, PER1, PEX12, PFAS, PGR, PHF23, PHOSPHO1, PIK3CA, PIP4K2B, PLK1, PLK2, PLSCR3, PMS2, PNMT, PNPO, POLD1, POU2AF2, POU2AF3, PPM1D, PPP1R1B, PPP2R1B, PRAC1, PSMB3, PSMD3, PSME3, PTEN, PTGES3L, RAB39A, RAD51, RAD51C, RANGRF, RARA, RB1CC1, RDM1, RIPK1, RND2, RPL19, RPL23, RPL26, RPL27, SCPEP1, SEC23B, SEPTIN4, SHC1, SKAP1, SLC2A4, SLFN11, SLFN12, SNCG, SNF8, SOCS7, SP6, SPAG9, SRSF8, STAC2, STAMBPL1, STARD3, STAT3, STAT5A, STAT5B, STH, STK11, STXBP1, SUFU, TCAP, THRA, TMEM88, TNFSF13, TNS4, TOM1L1, TP53, TRAPPC1, TRIM25, TSPOAP1, TTLL6, TTN, TUBG1, TUBG2, UBE2Z, UNC45B, VAMP2, VPS25, WIPF2, WNK4, WRAP53, XBP1, YAP1, ZBTB4",Pure_NetAn_GO
Fanconi anaemia nuclear complex,13.227696572580646,0.00017955490847824018,0.026195915051814744,"FANCA, FANCC, FANCG, FANCL, FANCM",Pure_NetAn_GO
cyclin-dependent protein serine/threonine kinase inhibitor activity,13.227696572580646,0.00017955490847824018,0.026195915051814744,"CDKN1B, CDKN2A, CDKN2B, HEXIM1, HEXIM2",Pure_NetAn_GO
positive regulation of cell migration,2.28291430667047,0.00019321582467173072,0.027601685620292866,"AKT1, APC, ATM, BCAR1, CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL4, CCL4L1, CCL5, COL1A1, EGFR, ELP5, GRB7, GRN, MIEN1, MMP7, PDGFD, RDX, RET, SPAG9, STAT3, XBP1",Pure_NetAn_GO
anterior/posterior pattern specification,3.544207317073171,0.0002269244954748459,0.031755536030020785,"HES7, HNF1B, HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, LHX1, PCGF2",Pure_NetAn_GO
extracellular matrix disassembly,4.773962550607288,0.00031126598071616585,0.04268701659541499,"LCP1, MMP1, MMP10, MMP12, MMP13, MMP20, MMP3, MMP7, MMP8",Pure_NetAn_GO
Rad51B-Rad51C-Rad51D-XRCC2 complex,63.38631790744467,0.0003586368283501576,0.04639948550937793,"RAD51C, RAD51D, XRCC2",Pure_NetAn_GO
DNA strand invasion,63.38631790744467,0.0003586368283501576,0.04639948550937793,"RAD51, RAD51D, XRCC2",Pure_NetAn_GO
Y-form DNA binding,63.38631790744467,0.0003586368283501576,0.04639948550937793,"BLM, MEN1, WRN",Pure_NetAn_GO
mismatch repair,6.180681818181818,0.0003884840874624973,0.04933028495796933,"MLH1, MLH3, MSH2, MSH3, MSH6, MUTYH, PMS2",Pure_NetAn_GO
DNA damage response,2.1156195414747634,0.0004575736958270991,0.05704696058702579,"ALKBH8, APC, ATM, ATR, BARD1, BLM, BRCA1, CBX1, CHEK2, CTC1, DCUN1D5, FANCG, FANCL, HROB, MAPT, MEN1, MRE11, RAD50, RAD51, SLFN11, SPIDR, STK11, STXBP4, TOP2A, TP53, WRN, YAP1, ZBTB4",Pure_NetAn_GO
isomerase activity,5.933171717171717,0.00047798757587194944,0.05852787156703495,"ALOX12B, BLM, BRIP1, ERCC3, RECQL, RECQL4, WRN",Pure_NetAn_GO
negative regulation of DNA replication,9.618768328445748,0.0005438751327757057,0.06542722430601779,"ATR, CDC6, HCRT, SLFN11, TP53",Pure_NetAn_GO
cellular response to ionizing radiation,4.845991622129135,0.000610108549290191,0.0721295572841869,"BARD1, BLM, BRCA1, BRCA2, KDM4D, RAD51, SPIDR, TP53",Pure_NetAn_GO
hair follicle morphogenesis,5.4931537598204265,0.0007059572306463574,0.08078290014879583,"DLX3, KRT17, KRT25, KRT27, KRT28, NAGLU, NGFR",Pure_NetAn_GO
G-quadruplex DNA binding,14.09667673716012,0.0007068651026582688,0.08078290014879583,"BLM, NME2, RAD50, WRN",Pure_NetAn_GO
positive regulation of neuron apoptotic process,3.7231376313123232,0.0008272409506119055,0.0929900196450137,"ATM, CASP12, CASP4, CASP5, CCL3, GRN, NF1, PHB1, RIPK1, TP53",Pure_NetAn_GO
liver development,3.43462892256294,0.0008419349140739869,0.0931152855775053,"ACAT1, CDK5RAP3, CDKN2B, MED1, NAGLU, NF1, PIK3CA, RARA, RB1CC1, RHBDD3, XBP1",Pure_NetAn_GO
Mre11 complex,31.691649899396378,0.0008662756534765005,0.09428654215695816,"MRE11, NBN, RAD50",Pure_NetAn_GO
protein kinase binding,1.8223563218390804,0.0009065732102971029,0.09713082035948803,"AATF, ACTA2, AKT1, AP1B1, APC, AXIN2, BCAR1, BECN1, CDK12, CDK5RAP3, CDKN1B, CDKN2A, CDKN2B, CHEK2, CKS1B, DBF4B, DLG4, DUSP3, DVL2, EGFR, GRB7, MAPT, NEFH, NSF, PLK1, RB1CC1, RND2, SKAP1, SRCIN1, STAT3, STXBP1, SUFU, TEX14, TOM1L1, TTN, XBP1, ZBTB4",Pure_NetAn_GO
cell communication,8.138182382133994,0.0009891451112261892,0.10276618223754513,"CCL16, CCL18, GJD3, KREMEN1, NF1",Pure_NetAn_GO
mitotic intra-S DNA damage checkpoint signaling,8.138182382133994,0.0009891451112261892,0.10276618223754513,"CHEK2, EME1, FANCD2, MRE11, MSH2",Pure_NetAn_GO
determination of adult lifespan,4.943131313131313,0.0012004166039155675,0.12104789195660362,"ATM, MSH2, MSH6, NAGLU, RAD54L, TP53, WRN",Pure_NetAn_GO
mitotic G2 DNA damage checkpoint signaling,4.943131313131313,0.0012004166039155675,0.12104789195660362,"ATM, BLM, BRCA1, CDK5RAP3, MRE11, NBN, PLK1",Pure_NetAn_GO
nuclear chromosome,5.774057425924227,0.0013630087957135807,0.1354514682928699,"BLM, JUN, RAD51, SMARCE1, SPIDR, TOP2A",Pure_NetAn_GO
kinase binding,2.9981009256494477,0.001442546340635614,0.1413077179676915,"AKT1, AURKB, BARD1, CARD16, CASP1, DLG4, EGFR, GFAP, PER1, POLR2A, PPP1R9B, TTC28",Pure_NetAn_GO
four-way junction helicase activity,4.135638363461491,0.001493158159050921,0.1422025763418356,"BLM, CHD3, ERCC3, FANCM, RAD54L, RECQL, RECQL4, WRN",Pure_NetAn_GO
nucleotide-excision repair,4.135638363461491,0.001493158159050921,0.1422025763418356,"BRCA2, BRIP1, ERCC3, ERCC4, FANCC, NTHL1, SLX4, TP53",Pure_NetAn_GO
eosinophil chemotaxis,7.05241935483871,0.0016598497407230763,0.1559121872895635,"CCL16, CCL3, CCL4, CCL4L1, CCL5",Pure_NetAn_GO
skin development,4.493112947658402,0.001931946451627806,0.17586241740327044,"ABCB6, ITGA3, JUP, KRT9, PTCH2, RYR1, SUFU",Pure_NetAn_GO
negative regulation of cell population proliferation,1.7999063214497417,0.0019485741568521988,0.17586241740327044,"AIMP2, ALOX15B, APC, BAP1, BECN1, BRIP1, BTG4, CCL23, CCL3L1, CDC6, CDC73, CDKN1B, CDKN2A, CDKN2B, COL18A1, DIS3L2, GGNBP2, IFI35, MEN1, MMRN2, NF2, NME1, PHB1, PPM1D, PTEN, RARA, RB1CC1, RXFP2, STAT3, STK11, TMEM127, TOB1, TP53",Pure_NetAn_GO
chromatin binding,1.7615996086584322,0.0020337710157975735,0.17586241740327044,"BAP1, BRIP1, CBX1, CHD3, DLX3, EGFR, EPOP, EZH1, FANCM, HDAC5, KAT2A, KAT7, MBTD1, MED1, MEN1, MEOX1, MITF, MLH1, MLH3, MPO, MSH2, MSH6, POLD1, POLE, RAD51, RARA, SMARCE1, SOX15, STAT5B, TADA2A, TOP2A, TP53, UBTF, WRN, YAP1",Pure_NetAn_GO
MutSalpha complex,inf,0.002051770948266244,0.17586241740327044,"MSH2, MSH6",Pure_NetAn_GO
Wnt receptor catabolic process,inf,0.002051770948266244,0.17586241740327044,"RNF43, ZNRF3",Pure_NetAn_GO
BRCA1-BARD1 complex,inf,0.002051770948266244,0.17586241740327044,"BARD1, BRCA1",Pure_NetAn_GO
dephospho-CoA kinase activity,inf,0.002051770948266244,0.17586241740327044,"COASY, DCAKD",Pure_NetAn_GO
nucleoplasm,1.2624659879231592,0.002149766504753279,0.17827398643734113,"AATF, ABCB6, ACADVL, ACLY, ADIRF, AIP, AKT1, ALKBH8, APC, ASCC2, ATM, ATR, AURKB, BAP1, BARD1, BIRC3, BLM, BRCA1, BRCA2, BRIP1, CASC3, CAVIN1, CBX1, CDC27, CDC6, CDC73, CDK12, CDKN1B, CDKN2A, CFAP68, CHD3, CHEK2, CKS1B, COIL, CRYAB, CTC1, CWC15, CWC25, CWF19L2, DBF4B, DCTN5, DDX41, DDX52, DGKE, DHX8, DLX4, DNAJC7, DROSHA, DUSP3, DVL2, EFTUD2, ELP5, EME1, EPN3, ERBB2, ERCC3, ERCC4, ETV4, EWSR1, EZH1, FANCA, FANCC, FANCD2, FANCG, FANCI, FANCL, FANCM, GJC1, GOSR2, GPS2, HDAC5, HEXIM1, HEXIM2, HLF, HNF1B, HOXB1, HOXB13, HOXB2, HOXB3, HOXB4, HOXB5, HOXB7, HOXB8, HOXB9, HSCB, HSPB9, IFI35, IGF2BP1, IKZF3, IL7R, INTS2, ITGB3, JUN, KANSL1, KAT2A, KAT7, KDM4D, KDM4E, KDM6B, KIF18B, KLLN, KPNB1, LUC7L3, MAML2, MAP3K14, MED1, MED24, MEN1, MITF, MKS1, MLH1, MLH3, MLX, MPO, MRE11, MRPL10, MSH2, MSH3, MSH6, MSL1, MUTYH, NAA38, NBN, NBR1, NDUFAB1, NF1, NFE2L1, NGFR, NISCH, NLE1, NPAT, NR1D1, NTHL1, OSBPL7, PALB2, PCGF2, PDK2, PER1, PGR, PHB1, PHF23, PIP4K2B, PIWIL4, PLEKHM1, PLK1, PMS2, POLD1, POLE, POLR2A, POT1, POU2AF3, PPM1D, PPP1R9B, PRAC1, PSMB3, PSMC3IP, PSMD3, PSME3, PTEN, RAD50, RAD51, RAD51C, RAD51D, RAD54L, RANGRF, RARA, RECQL, RECQL4, RPL23, RPL26, RPL27, SENP3, SHLD2, SKAP1, SLC35B1, SLFN11, SLX4, SMARCE1, SNF8, SP2, SPIDR, SPOP, SRSF1, SRSF8, STARD3, STAT3, STAT5A, STAT5B, STH, STK11, STXBP1, SUFU, SUPT4H1, TADA2A, TAF15, THOC5, THRA, TMEM92, TNFSF13, TOP2A, TP53, TRIM25, UBE2Z, UBTF, UTP18, VEZF1, VPS25, WRAP53, WRN, XBP1, XRCC2, YAP1, ZBTB4, ZMAT5, ZNF462",Pure_NetAn_GO
somatic hypermutation of immunoglobulin genes,9.396441758979524,0.00215790300048116,0.17827398643734113,"MLH1, MSH2, MSH6, PMS2",Pure_NetAn_GO
negative regulation by host of viral transcription,9.396441758979524,0.00215790300048116,0.17827398643734113,"CCL3, CCL4, CCL5, JUN",Pure_NetAn_GO
regulation of cell cycle,1.999004367934224,0.002183940848385696,0.1782771713973895,"ATM, BAP1, BARD1, BIRC2, BIRC3, BRCA1, BTG4, CDK12, CDKN1B, CDKN2A, EVI2B, JUN, KAT2A, KAT7, MBTD1, NBN, NF2, PLK1, PPP1R9B, RAD51D, STAT3, STK11, TADA2A, TP53",Pure_NetAn_GO
embryonic organ development,5.080443995963673,0.002372643660486976,0.19140255976422585,"BMPR1A, ERCC3, HOXB7, PALB2, POLE, TP53",Pure_NetAn_GO
CCR5 chemokine receptor binding,15.844315895372233,0.0028310851167557345,0.21953724923668486,"CCL3, CCL4, CCL5",Pure_NetAn_GO
mitotic recombination,15.844315895372233,0.0028310851167557345,0.21953724923668486,"MSH2, MSH3, RAD51",Pure_NetAn_GO
lipid oxidation,15.844315895372233,0.0028310851167557345,0.21953724923668486,"ALOX12B, ALOX15B, ALOXE3",Pure_NetAn_GO
lateral element,8.456394763343404,0.0029135029430564854,0.21953724923668486,"BLM, BRCA1, BRCA2, RAD51",Pure_NetAn_GO
protein kinase A signaling,8.456394763343404,0.0029135029430564854,0.21953724923668486,"AIP, LCP1, RDX, TTN",Pure_NetAn_GO
mismatched DNA binding,8.456394763343404,0.0029135029430564854,0.21953724923668486,"MLH3, MSH2, MSH3, MSH6",Pure_NetAn_GO
response to peptide hormone,4.118097643097643,0.0029686048390061724,0.22125786283766655,"BRAF, CDKN1B, EIF2B5, GIP, STAT3, STAT5A, STAT5B",Pure_NetAn_GO
"ATP-dependent activity, acting on DNA",4.703666330306088,0.0033046921231254167,0.2436588590136665,"BLM, MSH2, MSH6, RAD51, RAD51D, TOP2A",Pure_NetAn_GO
replication fork processing,4.006606606606606,0.003394688427377701,0.247631686665201,"ATR, BLM, EME1, FANCM, RAD51, RECQL, WRN",Pure_NetAn_GO
positive regulation of epithelial cell proliferation,3.233651272901942,0.003470142892480123,0.25047126119722324,"BMPR1A, CCL5, EGFR, ERBB2, GRN, NME1, NME2, NOG, YAP1",Pure_NetAn_GO
CARD domain binding,7.687265403277488,0.003831741550776993,0.27297673778275455,"CARD16, CARD18, CASP1, CASP4",Pure_NetAn_GO
positive regulation of telomere maintenance,4.53546201528038,0.003861563885799503,0.27297673778275455,"AURKB, MRE11, NBN, POT1, RAD50, SLX4",Pure_NetAn_GO
exploration behavior,5.566638370118845,0.003915528303191011,0.2739671181120486,"CRHR1, GIP, ITGA3, NAGLU, NOG",Pure_NetAn_GO
cell chemotaxis,2.904886816282911,0.004238659841932571,0.288630239184148,"BCAR1, CCL14, CCL15, CCL18, CCL23, CCL3, CCL3L1, CCR10, CCR7, HOXB9",Pure_NetAn_GO
hepoxilin biosynthetic process,12.674849094567405,0.004377649828664342,0.288630239184148,"ALOX12B, ALOX15B, ALOXE3",Pure_NetAn_GO
cellular response to nutrient,12.674849094567405,0.004377649828664342,0.288630239184148,"CDKN2B, PDK2, XBP1",Pure_NetAn_GO
gap junction assembly,12.674849094567405,0.004377649828664342,0.288630239184148,"CTNNA1, GJC1, GJD3",Pure_NetAn_GO
cornification,12.674849094567405,0.004377649828664342,0.288630239184148,"LIPK, LIPM, LIPN",Pure_NetAn_GO
bubble DNA binding,12.674849094567405,0.004377649828664342,0.288630239184148,"BLM, RECQL4, WRN",Pure_NetAn_GO
MAPK cascade,2.4642766405342624,0.004430836473750192,0.28935472095719117,"BRAF, CCL3, EGFR, IGFBP4, KRAS, MAP3K14, MEN1, NF1, NF2, RET, RHBDD3, RIPK1, SPAG9",Pure_NetAn_GO
tissue homeostasis,5.288054435483871,0.004714510421596382,0.30497545246119234,"ACACA, BAP1, BARD1, STK11, YAP1",Pure_NetAn_GO
